"","Driver","log_SR_ratio","nbStudies","2.5 %","97.5 %","25 %","75 %"
"1","Canopy_closure",-0.00594581297058824,17,-0.152841400764443,0.140949774823267,-0.0564975420316889,0.0446059160905124
"2","Cessation_grazing",0.139079441330303,7,-0.0662584122400879,0.344417294900694,0.0684157563580539,0.209743126302552
"3","Climate",-0.155155228787879,11,-0.415516859319727,0.105206401743969,-0.244754452305897,-0.0655560052698604
"4","Herbivory_grazing",0.095256522875,12,-0.0723077437126128,0.262820789462613,0.0375920039328362,0.152921041817164
"5","Hydrology",-0.085999359,4,-0.424496703747678,0.252497985747678,-0.202487718634056,0.0304890006340555
"6","Invasion",-0.296121201166667,7,-0.562679853130866,-0.0295625492024671,-0.387853028891108,-0.204389373442226
"7","Management",0.0443342115319941,16,-0.0531761485185895,0.141844571582578,0.0107776059459571,0.0778908171180311
"8","Ongoing-disturbance",0.0464443482916667,6,-0.0507412606831172,0.143629957266451,0.0129995005102219,0.0798891960731114
"9","Ongoing-fire",0.0682637714305556,6,-0.0729225025124678,0.209450045373579,0.0196768099383561,0.116850732922755
"10","Pollution",-0.0322358224375,8,-0.202251207129452,0.137779562254452,-0.0907438538375135,0.0262722089625135
"11","Post-disturbance",0.339533725846154,13,0.00366480457399134,0.675402647118316,0.223949895431713,0.455117556260594
"12","Post-fire",0.227047937895833,8,-0.0814696826205096,0.535565558412176,0.120876613098765,0.333219262692901
"13","Unknown",-0.041246115787037,45,-0.124269376886667,0.0417771453125931,-0.0698172217263611,-0.012675009847713
